At frame 0, person 1 is located at coordinates [-21.95, 662.12] with a bounding box of width 112.44 and height 309.52.
 At frame 457, person 37 is located at coordinates [1684.93, 656.76] with a bounding box of width 65.22 and height 161.16.
 At frame 457, person 40 is located at coordinates [31.68, 680.06] with a bounding box of width 108.86 and height 279.18.
 At frame 457, person 54 is located at coordinates [105.02, 732.80] with a bounding box of width 77.46 and height 207.65.
 At frame 457, person 55 is located at coordinates [197.71, 683.40] with a bounding box of width 29.18 and height 67.94.
 At frame 457, person 56 is located at coordinates [698.99, 722.42] with a bounding box of width 17.49 and height 39.19.
 At frame 457, person 49 is located at coordinates [769.42, 729.78] with a bounding box of width 21.18 and height 44.51.
 At frame 457, person 41 is located at coordinates [707.93, 722.79] with a bounding box of width 18.79 and height 41.01.
 

=====================================================

At frame 458, person 23 is located at coordinates [1122.46, 702.08] with a bounding box of width 119.24 and height 301.62.
 At frame 458, person 38 is located at coordinates [1024.82, 747.34] with a bounding box of width 79.55 and height 208.10.
 At frame 458, person 37 is located at coordinates [1701.52, 655.30] with a bounding box of width 66.03 and height 162.84.
 At frame 458, person 40 is located at coordinates [27.12, 677.38] with a bounding box of width 109.55 and height 282.51.
 At frame 458, person 54 is located at coordinates [102.63, 732.55] with a bounding box of width 78.22 and height 210.66.
 At frame 458, person 55 is located at coordinates [200.64, 682.67] with a bounding box of width 28.49 and height 66.44.
 At frame 458, person 56 is located at coordinates [701.32, 722.56] with a bounding box of width 17.05 and height 38.22.
 At frame 458, person 49 is located at coordinates [773.62, 729.49] with a bounding box of width 21.44 and height 45.11.
 At frame 458, person 41 is located at coordinates [715.00, 722.18] with a bounding box of width 18.87 and height 41.49.
 At frame 459, person 23 is located at coordinates [1133.25, 700.52] with a bounding box of width 121.37 and height 307.38.
 At frame 459, person 38 is located at coordinates [1033.40, 746.11] with a bounding box of width 80.38 and height 212.00.
 At frame 459, person 37 is located at coordinates [1717.34, 652.44] with a bounding box of width 66.23 and height 163.46.
 At frame 459, person 40 is located at coordinates [21.88, 674.62] with a bounding box of width 111.19 and height 288.22.
 At frame 459, person 54 is located at coordinates [100.70, 732.42] with a bounding box of width 78.84 and height 213.49.
 At frame 459, person 55 is located at coordinates [203.00, 680.88] with a bounding box of width 30.08 and height 70.57.
 At frame 459, person 56 is located at coordinates [705.01, 722.60] with a bounding box of width 16.34 and height 36.66.
 At frame 459, person 49 is located at coordinates [776.60, 728.21] with a bounding box of width 21.52 and height 45.33.
 At frame 459, person 41 is located at coordinates [719.48, 721.96] with a bounding box of width 18.92 and height 41.66.
 At frame 460, person 23 is located at coordinates [1143.39, 697.88] with a bounding box of width 122.37 and height 310.39.
 At frame 460, person 38 is located at coordinates [1041.17, 740.95] with a bounding box of width 82.93 and height 220.43.
 At frame 460, person 37 is located at coordinates [1734.41, 649.35] with a bounding box of width 70.14 and height 172.42.
 At frame 460, person 40 is located at coordinates [16.50, 673.27] with a bounding box of width 112.32 and height 292.28.
 At frame 460, person 54 is located at coordinates [97.74, 731.75] with a bounding box of width 79.79 and height 216.83.
 At frame 460, person 55 is located at coordinates [205.82, 680.80] with a bounding box of width 29.14 and height 68.60.
 At frame 460, person 56 is located at coordinates [710.30, 721.64] with a bounding box of width 15.80 and height 35.55.
 At frame 460, person 49 is located at coordinates [781.31, 728.59] with a bounding box of width 20.65 and height 43.66.
 At frame 460, person 41 is located at coordinates [724.74, 721.57] with a bounding box of width 18.51 and height 41.13.
 At frame 461, person 23 is located at coordinates [1153.72, 697.73] with a bounding box of width 124.41 and height 315.23.
 At frame 461, person 38 is located at coordinates [1047.72, 737.23] with a bounding box of width 84.46 and height 226.47.
 At frame 461, person 37 is located at coordinates [1752.92, 650.22] with a bounding box of width 68.62 and height 167.18.
 At frame 461, person 40 is located at coordinates [9.06, 665.28] with a bounding box of width 115.02 and height 301.16.
 At frame 461, person 54 is located at coordinates [96.63, 729.43] with a bounding box of width 82.48 and height 221.24.
 At frame 461, person 55 is located at coordinates [207.97, 679.30] with a bounding box of width 29.85 and height 70.65.
 At frame 461, person 56 is located at coordinates [714.02, 720.67] with a bounding box of width 16.18 and height 36.48.
 At frame 461, person 49 is located at coordinates [785.24, 727.54] with a bounding box of width 20.60 and height 43.59.
 At frame 461, person 41 is located at coordinates [730.13, 719.93] with a bounding box of width 18.90 and height 42.12.
 At frame 462, person 23 is located at coordinates [1163.73, 695.35] with a bounding box of width 126.39 and height 320.48.
 At frame 462, person 38 is located at coordinates [1054.95, 737.49] with a bounding box of width 84.44 and height 228.18.
 At frame 462, person 37 is located at coordinates [1769.61, 654.47] with a bounding box of width 67.76 and height 164.99.
 At frame 462, person 40 is located at coordinates [1.13, 660.22] with a bounding box of width 116.19 and height 306.43.
 At frame 462, person 54 is located at coordinates [93.75, 728.52] with a bounding box of width 84.07 and height 221.69.
 At frame 462, person 55 is located at coordinates [211.08, 677.00] with a bounding box of width 29.27 and height 69.64.
 At frame 462, person 56 is located at coordinates [718.20, 720.04] with a bounding box of width 16.53 and height 37.44.
 At frame 462, person 49 is located at coordinates [787.80, 725.68] with a bounding box of width 21.13 and height 44.74.
 At frame 462, person 41 is located at coordinates [733.72, 720.77] with a bounding box of width 17.95 and height 40.15.
 At frame 463, person 23 is located at coordinates [1173.72, 691.84] with a bounding box of width 128.14 and height 325.59.
 At frame 463, person 38 is located at coordinates [1066.05, 737.30] with a bounding box of width 84.72 and height 231.35.
 At frame 463, person 40 is located at coordinates [-7.74, 655.99] with a bounding box of width 118.20 and height 314.61.
 At frame 463, person 54 is located at coordinates [87.71, 729.61] with a bounding box of width 85.58 and height 222.06.
 At frame 463, person 55 is located at coordinates [213.73, 674.94] with a bounding box of width 29.09 and height 69.18.
 

=====================================================

At frame 463, person 56 is located at coordinates [723.15, 718.03] with a bounding box of width 16.87 and height 38.41.
 At frame 463, person 49 is located at coordinates [791.91, 726.15] with a bounding box of width 20.68 and height 44.00.
 At frame 463, person 41 is located at coordinates [738.36, 719.90] with a bounding box of width 18.32 and height 41.17.
 At frame 463, person 57 is located at coordinates [78.06, 669.94] with a bounding box of width 48.03 and height 149.39.
 At frame 464, person 23 is located at coordinates [1186.14, 695.41] with a bounding box of width 127.23 and height 324.28.
 At frame 464, person 38 is located at coordinates [1073.80, 735.79] with a bounding box of width 85.49 and height 235.66.
 At frame 464, person 40 is located at coordinates [-19.81, 652.40] with a bounding box of width 119.88 and height 321.33.
 At frame 464, person 54 is located at coordinates [79.57, 728.56] with a bounding box of width 87.99 and height 226.50.
 At frame 464, person 55 is located at coordinates [216.03, 673.59] with a bounding box of width 29.50 and height 70.14.
 At frame 464, person 56 is located at coordinates [727.43, 717.88] with a bounding box of width 16.72 and height 38.19.
 At frame 464, person 49 is located at coordinates [795.15, 724.29] with a bounding box of width 21.66 and height 46.06.
 At frame 464, person 41 is located at coordinates [743.29, 719.59] with a bounding box of width 18.80 and height 42.13.
 At frame 464, person 57 is located at coordinates [71.80, 667.22] with a bounding box of width 57.17 and height 177.82.
 At frame 465, person 23 is located at coordinates [1199.19, 694.78] with a bounding box of width 128.26 and height 328.01.
 At frame 465, person 38 is located at coordinates [1085.85, 734.92] with a bounding box of width 86.80 and height 239.25.
 At frame 465, person 40 is located at coordinates [-27.50, 650.78] with a bounding box of width 121.97 and height 327.48.
 At frame 465, person 54 is located at coordinates [69.48, 729.89] with a bounding box of width 90.67 and height 231.01.
 At frame 465, person 55 is located at coordinates [217.38, 673.11] with a bounding box of width 29.62 and height 70.47.
 At frame 465, person 56 is located at coordinates [731.30, 718.45] with a bounding box of width 16.70 and height 38.12.
 At frame 465, person 49 is located at coordinates [799.35, 725.90] with a bounding box of width 20.52 and height 43.94.
 At frame 465, person 41 is located at coordinates [747.24, 719.17] with a bounding box of width 18.62 and height 41.91.
 At frame 465, person 57 is located at coordinates [70.87, 667.33] with a bounding box of width 57.60 and height 178.45.
 At frame 466, person 23 is located at coordinates [1210.62, 694.26] with a bounding box of width 130.18 and height 333.69.
 At frame 466, person 38 is located at coordinates [1094.75, 734.01] with a bounding box of width 88.70 and height 245.16.
 At frame 466, person 40 is located at coordinates [-33.88, 651.37] with a bounding box of width 120.89 and height 327.96.
 At frame 466, person 54 is located at coordinates [59.67, 730.11] with a bounding box of width 93.85 and height 237.58.
 At frame 466, person 55 is located at coordinates [219.70, 673.53] with a bounding box of width 28.77 and height 68.81.
 At frame 466, person 56 is located at coordinates [734.74, 717.49] with a bounding box of width 17.23 and height 39.29.
 At frame 466, person 49 is located at coordinates [800.56, 722.12] with a bounding box of width 22.97 and height 49.02.
 At frame 466, person 41 is located at coordinates [751.54, 718.72] with a bounding box of width 19.03 and height 42.99.
 At frame 466, person 57 is located at coordinates [68.83, 664.92] with a bounding box of width 57.96 and height 178.93.
 At frame 467, person 23 is located at coordinates [1223.80, 697.82] with a bounding box of width 131.15 and height 336.06.
 At frame 467, person 38 is located at coordinates [1104.16, 733.38] with a bounding box of width 90.76 and height 251.08.
 At frame 467, person 40 is located at coordinates [-46.85, 651.68] with a bounding box of width 122.24 and height 333.68.
 At frame 467, person 54 is located at coordinates [50.47, 731.33] with a bounding box of width 95.55 and height 240.60.
 At frame 467, person 55 is located at coordinates [222.36, 675.79] with a bounding box of width 27.55 and height 66.36.
 At frame 467, person 56 is located at coordinates [739.07, 719.19] with a bounding box of width 16.40 and height 37.39.
 At frame 467, person 49 is located at coordinates [802.65, 719.65] with a bounding box of width 24.53 and height 53.07.
 At frame 467, person 41 is located at coordinates [754.58, 720.01] with a bounding box of width 18.41 and height 41.66.
 At frame 467, person 57 is located at coordinates [68.53, 665.41] with a bounding box of width 58.05 and height 177.97.
 At frame 468, person 23 is located at coordinates [1236.45, 694.86] with a bounding box of width 134.17 and height 345.85.
 At frame 468, person 38 is located at coordinates [1112.88, 727.40] with a bounding box of width 95.83 and height 263.03.
 At frame 468, person 40 is located at coordinates [-65.14, 650.41] with a bounding box of width 125.77 and height 343.48.
 At frame 468, person 54 is located at coordinates [40.54, 731.79] with a bounding box of width 100.37 and height 250.90.
 At frame 468, person 55 is located at coordinates [223.37, 679.35] with a bounding box of width 26.26 and height 63.63.
 At frame 468, person 56 is located at coordinates [743.04, 719.28] with a bounding box of width 17.15 and height 39.05.
 At frame 468, person 49 is located at coordinates [803.07, 716.43] with a bounding box of width 26.92 and height 58.59.
 At frame 468, person 41 is located at coordinates [759.62, 719.33] with a bounding box of width 19.44 and height 44.08.
 At frame 468, person 57 is located at coordinates [66.16, 664.72] with a bounding box of width 58.30 and height 177.31.
 At frame 469, person 23 is located at coordinates [1248.69, 694.59] with a bounding box of width 137.15 and height 354.38.
 

=====================================================

At frame 469, person 38 is located at coordinates [1123.83, 735.91] with a bounding box of width 94.69 and height 260.73.
 At frame 469, person 40 is located at coordinates [-72.66, 662.27] with a bounding box of width 121.59 and height 333.08.
 At frame 469, person 54 is located at coordinates [33.39, 737.10] with a bounding box of width 100.59 and height 248.48.
 At frame 469, person 55 is located at coordinates [222.11, 678.88] with a bounding box of width 29.20 and height 71.61.
 At frame 469, person 56 is located at coordinates [746.27, 721.64] with a bounding box of width 17.21 and height 39.06.
 At frame 469, person 49 is located at coordinates [807.16, 722.90] with a bounding box of width 24.35 and height 53.04.
 At frame 469, person 41 is located at coordinates [763.03, 721.09] with a bounding box of width 19.44 and height 43.82.
 At frame 469, person 57 is located at coordinates [63.98, 665.73] with a bounding box of width 60.70 and height 182.95.
 At frame 470, person 23 is located at coordinates [1262.72, 696.21] with a bounding box of width 140.82 and height 363.30.
 At frame 470, person 38 is located at coordinates [1132.81, 737.32] with a bounding box of width 96.91 and height 265.68.
 At frame 470, person 40 is located at coordinates [-69.40, 674.95] with a bounding box of width 106.05 and height 287.43.
 At frame 470, person 54 is located at coordinates [23.29, 738.02] with a bounding box of width 104.85 and height 256.63.
 At frame 470, person 56 is located at coordinates [749.08, 724.03] with a bounding box of width 16.73 and height 37.89.
 At frame 470, person 49 is located at coordinates [810.34, 725.78] with a bounding box of width 23.40 and height 51.11.
 At frame 470, person 41 is located at coordinates [766.75, 722.96] with a bounding box of width 19.49 and height 43.70.
 At frame 470, person 57 is located at coordinates [60.39, 668.20] with a bounding box of width 60.35 and height 180.12.
 At frame 470, person 60 is located at coordinates [195.22, 696.05] with a bounding box of width 15.45 and height 35.70.
 At frame 471, person 23 is located at coordinates [1279.21, 690.54] with a bounding box of width 144.64 and height 375.23.
 At frame 471, person 38 is located at coordinates [1143.94, 738.71] with a bounding box of width 99.10 and height 270.63.
 At frame 471, person 54 is located at coordinates [12.40, 737.78] with a bounding box of width 109.73 and height 265.36.
 At frame 471, person 56 is located at coordinates [752.41, 725.52] with a bounding box of width 16.49 and height 37.45.
 At frame 471, person 49 is located at coordinates [810.76, 723.01] with a bounding box of width 24.96 and height 54.50.
 At frame 471, person 41 is located at coordinates [770.00, 724.24] with a bounding box of width 19.62 and height 44.23.
 At frame 471, person 57 is located at coordinates [53.43, 669.48] with a bounding box of width 65.05 and height 193.78.
 At frame 471, person 60 is located at coordinates [196.29, 695.91] with a bounding box of width 15.37 and height 35.57.
 At frame 471, person 61 is located at coordinates [152.22, 683.44] with a bounding box of width 17.42 and height 44.94.
 At frame 472, person 23 is located at coordinates [1293.05, 693.20] with a bounding box of width 145.36 and height 378.84.
 At frame 472, person 38 is located at coordinates [1157.45, 741.84] with a bounding box of width 99.35 and height 272.70.
 At frame 472, person 54 is located at coordinates [0.67, 739.94] with a bounding box of width 112.50 and height 266.93.
 At frame 472, person 56 is located at coordinates [754.56, 725.76] with a bounding box of width 16.69 and height 37.88.
 At frame 472, person 49 is located at coordinates [812.04, 722.29] with a bounding box of width 25.54 and height 55.73.
 At frame 472, person 41 is located at coordinates [773.11, 725.01] with a bounding box of width 19.69 and height 44.42.
 At frame 472, person 57 is located at coordinates [48.15, 669.08] with a bounding box of width 65.77 and height 195.26.
 At frame 472, person 60 is located at coordinates [195.31, 695.17] with a bounding box of width 16.80 and height 38.99.
 At frame 472, person 61 is located at coordinates [152.58, 685.13] with a bounding box of width 17.80 and height 45.89.
 At frame 473, person 23 is located at coordinates [1307.30, 690.81] with a bounding box of width 148.90 and height 389.26.
 At frame 473, person 38 is located at coordinates [1168.86, 740.15] with a bounding box of width 101.44 and height 279.71.
 At frame 473, person 54 is located at coordinates [-16.63, 740.19] with a bounding box of width 117.63 and height 273.71.
 At frame 473, person 56 is located at coordinates [756.21, 724.95] with a bounding box of width 17.21 and height 39.23.
 At frame 473, person 49 is located at coordinates [814.80, 725.17] with a bounding box of width 24.47 and height 53.32.
 At frame 473, person 41 is located at coordinates [775.61, 725.28] with a bounding box of width 19.71 and height 44.49.
 At frame 473, person 57 is located at coordinates [38.52, 668.91] with a bounding box of width 70.30 and height 207.25.
 At frame 473, person 61 is located at coordinates [152.86, 685.72] with a bounding box of width 17.94 and height 46.22.
 At frame 474, person 23 is located at coordinates [1329.54, 689.62] with a bounding box of width 149.23 and height 388.24.
 At frame 474, person 38 is located at coordinates [1180.43, 741.21] with a bounding box of width 103.35 and height 285.74.
 At frame 474, person 54 is located at coordinates [-34.85, 741.11] with a bounding box of width 121.70 and height 276.49.
 At frame 474, person 56 is located at coordinates [758.17, 725.51] with a bounding box of width 17.46 and height 39.73.
 At frame 474, person 49 is located at coordinates [815.95, 723.98] with a bounding box of width 24.82 and height 54.08.
 At frame 474, person 41 is located at coordinates [777.58, 725.37] with a bounding box of width 19.70 and height 44.50.
 At frame 474, person 57 is located at coordinates [33.66, 668.56] with a bounding box of width 68.84 and height 202.02.
 

=====================================================

At frame 474, person 61 is located at coordinates [152.80, 686.18] with a bounding box of width 17.77 and height 45.63.
 At frame 475, person 23 is located at coordinates [1346.02, 687.72] with a bounding box of width 150.08 and height 388.47.
 At frame 475, person 38 is located at coordinates [1194.44, 739.89] with a bounding box of width 106.19 and height 293.68.
 At frame 475, person 54 is located at coordinates [-56.83, 738.85] with a bounding box of width 129.32 and height 287.49.
 At frame 475, person 56 is located at coordinates [759.54, 724.54] with a bounding box of width 17.26 and height 39.34.
 At frame 475, person 49 is located at coordinates [817.17, 722.68] with a bounding box of width 25.56 and height 55.50.
 At frame 475, person 41 is located at coordinates [778.75, 724.80] with a bounding box of width 19.16 and height 43.33.
 At frame 475, person 57 is located at coordinates [27.09, 668.12] with a bounding box of width 70.10 and height 203.68.
 At frame 475, person 61 is located at coordinates [152.02, 685.98] with a bounding box of width 17.92 and height 46.06.
 At frame 476, person 23 is located at coordinates [1362.90, 684.41] with a bounding box of width 153.79 and height 399.68.
 At frame 476, person 38 is located at coordinates [1205.93, 741.66] with a bounding box of width 108.27 and height 300.05.
 At frame 476, person 56 is located at coordinates [761.01, 723.28] with a bounding box of width 17.38 and height 39.77.
 At frame 476, person 49 is located at coordinates [819.10, 725.07] with a bounding box of width 24.50 and height 53.15.
 At frame 476, person 41 is located at coordinates [779.76, 724.57] with a bounding box of width 19.25 and height 43.47.
 At frame 476, person 57 is located at coordinates [18.86, 667.09] with a bounding box of width 71.15 and height 205.93.
 At frame 476, person 61 is located at coordinates [151.12, 683.70] with a bounding box of width 17.97 and height 46.20.
 At frame 476, person 55 is located at coordinates [223.94, 679.61] with a bounding box of width 29.47 and height 72.81.
 At frame 477, person 23 is located at coordinates [1384.42, 682.31] with a bounding box of width 156.42 and height 408.69.
 At frame 477, person 38 is located at coordinates [1217.71, 739.47] with a bounding box of width 112.08 and height 311.55.
 At frame 477, person 56 is located at coordinates [762.19, 723.38] with a bounding box of width 17.18 and height 39.35.
 At frame 477, person 49 is located at coordinates [819.87, 725.43] with a bounding box of width 24.40 and height 52.77.
 At frame 477, person 41 is located at coordinates [779.89, 724.18] with a bounding box of width 18.99 and height 42.93.
 At frame 477, person 57 is located at coordinates [11.36, 665.54] with a bounding box of width 70.44 and height 202.03.
 At frame 477, person 55 is located at coordinates [224.21, 680.21] with a bounding box of width 28.65 and height 70.38.
 At frame 478, person 23 is located at coordinates [1401.20, 680.37] with a bounding box of width 159.11 and height 416.60.
 At frame 478, person 38 is located at coordinates [1231.95, 740.32] with a bounding box of width 115.23 and height 321.56.
 At frame 478, person 56 is located at coordinates [762.32, 723.42] with a bounding box of width 17.53 and height 40.36.
 At frame 478, person 49 is located at coordinates [820.24, 724.98] with a bounding box of width 24.62 and height 53.21.
 At frame 478, person 41 is located at coordinates [780.02, 723.13] with a bounding box of width 19.64 and height 44.50.
 At frame 478, person 57 is located at coordinates [1.99, 664.94] with a bounding box of width 71.00 and height 202.69.
 At frame 478, person 55 is located at coordinates [221.09, 681.90] with a bounding box of width 27.55 and height 67.78.
 At frame 478, person 63 is located at coordinates [142.24, 660.70] with a bounding box of width 45.02 and height 135.89.
 At frame 479, person 23 is located at coordinates [1421.01, 679.66] with a bounding box of width 161.20 and height 423.50.
 At frame 479, person 38 is located at coordinates [1245.24, 741.51] with a bounding box of width 116.25 and height 326.16.
 At frame 479, person 56 is located at coordinates [762.65, 722.85] with a bounding box of width 18.13 and height 41.89.
 At frame 479, person 49 is located at coordinates [820.32, 722.77] with a bounding box of width 25.87 and height 56.28.
 At frame 479, person 41 is located at coordinates [780.32, 723.32] with a bounding box of width 19.85 and height 45.07.
 At frame 479, person 57 is located at coordinates [-11.51, 665.89] with a bounding box of width 72.30 and height 205.18.
 At frame 479, person 55 is located at coordinates [217.81, 683.40] with a bounding box of width 26.65 and height 66.24.
 At frame 479, person 63 is located at coordinates [129.72, 654.90] with a bounding box of width 52.80 and height 159.36.
 At frame 479, person 64 is located at coordinates [811.97, 725.89] with a bounding box of width 24.31 and height 52.22.
 At frame 480, person 23 is located at coordinates [1445.73, 676.26] with a bounding box of width 154.45 and height 400.38.
 At frame 480, person 38 is located at coordinates [1257.86, 742.82] with a bounding box of width 117.03 and height 329.75.
 At frame 480, person 56 is located at coordinates [762.74, 723.50] with a bounding box of width 18.32 and height 42.47.
 At frame 480, person 49 is located at coordinates [819.79, 721.94] with a bounding box of width 26.24 and height 57.43.
 At frame 480, person 41 is located at coordinates [780.92, 724.27] with a bounding box of width 19.91 and height 45.29.
 At frame 480, person 57 is located at coordinates [-29.96, 647.96] with a bounding box of width 81.32 and height 229.86.
 At frame 480, person 55 is located at coordinates [221.14, 683.93] with a bounding box of width 25.99 and height 64.50.
 At frame 480, person 63 is located at coordinates [116.07, 654.52] with a bounding box of width 52.67 and height 159.07.
 At frame 480, person 64 is located at coordinates [813.06, 725.01] with a bounding box of width 24.98 and height 53.72.
 

=====================================================

At frame 481, person 23 is located at coordinates [1464.56, 672.62] with a bounding box of width 160.10 and height 412.19.
 At frame 481, person 38 is located at coordinates [1270.30, 741.03] with a bounding box of width 120.98 and height 341.29.
 At frame 481, person 56 is located at coordinates [763.00, 723.46] with a bounding box of width 18.35 and height 42.69.
 At frame 481, person 49 is located at coordinates [820.11, 723.06] with a bounding box of width 25.76 and height 56.70.
 At frame 481, person 41 is located at coordinates [780.04, 724.63] with a bounding box of width 19.07 and height 43.62.
 At frame 481, person 55 is located at coordinates [222.61, 681.39] with a bounding box of width 26.39 and height 65.09.
 At frame 481, person 63 is located at coordinates [97.72, 645.63] with a bounding box of width 61.85 and height 187.44.
 At frame 481, person 64 is located at coordinates [814.97, 725.38] with a bounding box of width 24.85 and height 53.55.
 At frame 482, person 23 is located at coordinates [1497.82, 670.16] with a bounding box of width 152.79 and height 389.24.
 At frame 482, person 38 is located at coordinates [1283.76, 738.62] with a bounding box of width 123.90 and height 347.86.
 At frame 482, person 56 is located at coordinates [762.87, 722.86] with a bounding box of width 18.11 and height 42.18.
 At frame 482, person 49 is located at coordinates [819.74, 722.64] with a bounding box of width 25.25 and height 55.81.
 At frame 482, person 41 is located at coordinates [779.13, 724.16] with a bounding box of width 18.48 and height 42.37.
 At frame 482, person 63 is located at coordinates [80.26, 640.28] with a bounding box of width 66.64 and height 202.34.
 At frame 482, person 64 is located at coordinates [814.57, 724.87] with a bounding box of width 24.78 and height 53.45.
 At frame 483, person 23 is located at coordinates [1528.16, 662.14] with a bounding box of width 153.71 and height 388.89.
 At frame 483, person 38 is located at coordinates [1301.02, 737.95] with a bounding box of width 125.38 and height 352.22.
 At frame 483, person 56 is located at coordinates [762.61, 721.46] with a bounding box of width 17.71 and height 41.38.
 At frame 483, person 49 is located at coordinates [819.12, 721.32] with a bounding box of width 25.31 and height 56.03.
 At frame 483, person 41 is located at coordinates [778.30, 722.50] with a bounding box of width 17.93 and height 41.31.
 At frame 483, person 63 is located at coordinates [65.06, 638.59] with a bounding box of width 68.27 and height 207.71.
 At frame 483, person 64 is located at coordinates [812.98, 722.47] with a bounding box of width 25.00 and height 54.04.
 At frame 484, person 23 is located at coordinates [1546.97, 653.39] with a bounding box of width 164.60 and height 412.87.
 At frame 484, person 38 is located at coordinates [1318.65, 735.40] with a bounding box of width 127.39 and height 356.57.
 At frame 484, person 56 is located at coordinates [762.73, 719.46] with a bounding box of width 17.00 and height 39.90.
 At frame 484, person 49 is located at coordinates [817.21, 720.54] with a bounding box of width 24.54 and height 54.35.
 At frame 484, person 41 is located at coordinates [777.97, 720.39] with a bounding box of width 17.06 and height 39.74.
 At frame 484, person 63 is located at coordinates [48.17, 634.38] with a bounding box of width 69.64 and height 212.59.
 At frame 484, person 64 is located at coordinates [811.54, 720.41] with a bounding box of width 24.31 and height 52.98.
 At frame 485, person 23 is located at coordinates [1568.44, 647.32] with a bounding box of width 168.79 and height 414.81.
 At frame 485, person 38 is located at coordinates [1333.42, 736.14] with a bounding box of width 133.23 and height 373.56.
 At frame 485, person 56 is located at coordinates [762.74, 717.23] with a bounding box of width 16.70 and height 39.33.
 At frame 485, person 49 is located at coordinates [815.61, 717.59] with a bounding box of width 24.69 and height 54.87.
 At frame 485, person 41 is located at coordinates [777.76, 717.51] with a bounding box of width 17.41 and height 40.97.
 At frame 485, person 63 is located at coordinates [30.88, 628.86] with a bounding box of width 72.25 and height 220.91.
 At frame 485, person 64 is located at coordinates [810.47, 717.24] with a bounding box of width 24.54 and height 53.83.
 At frame 486, person 23 is located at coordinates [1576.21, 638.98] with a bounding box of width 189.62 and height 454.61.
 At frame 486, person 38 is located at coordinates [1355.23, 733.59] with a bounding box of width 129.81 and height 360.65.
 At frame 486, person 56 is located at coordinates [761.54, 714.94] with a bounding box of width 16.55 and height 39.13.
 At frame 486, person 49 is located at coordinates [815.67, 715.05] with a bounding box of width 23.99 and height 53.89.
 At frame 486, person 41 is located at coordinates [776.58, 713.55] with a bounding box of width 17.95 and height 42.59.
 At frame 486, person 63 is located at coordinates [11.17, 624.26] with a bounding box of width 73.60 and height 225.51.
 At frame 486, person 64 is located at coordinates [807.46, 714.34] with a bounding box of width 24.46 and height 54.12.
 At frame 486, person 66 is located at coordinates [200.28, 662.03] with a bounding box of width 27.04 and height 74.96.
 At frame 487, person 23 is located at coordinates [1606.99, 632.23] with a bounding box of width 208.86 and height 502.91.
 At frame 487, person 38 is located at coordinates [1374.24, 734.04] with a bounding box of width 139.02 and height 382.17.
 At frame 487, person 56 is located at coordinates [759.85, 712.93] with a bounding box of width 16.55 and height 39.06.
 At frame 487, person 49 is located at coordinates [814.47, 715.00] with a bounding box of width 22.60 and height 51.15.
 At frame 487, person 41 is located at coordinates [775.20, 710.63] with a bounding box of width 18.24 and height 43.21.
 At frame 487, person 63 is located at coordinates [-10.25, 617.16] with a bounding box of width 77.11 and height 237.16.
 

=====================================================

At frame 487, person 64 is located at coordinates [805.63, 712.43] with a bounding box of width 24.10 and height 53.63.
 At frame 487, person 66 is located at coordinates [196.15, 658.48] with a bounding box of width 28.82 and height 79.75.
 At frame 487, person 67 is located at coordinates [787.03, 708.48] with a bounding box of width 18.58 and height 49.20.
 At frame 488, person 23 is located at coordinates [1630.26, 632.40] with a bounding box of width 222.37 and height 530.80.
 At frame 488, person 38 is located at coordinates [1400.77, 734.77] with a bounding box of width 145.17 and height 396.88.
 At frame 488, person 56 is located at coordinates [757.15, 708.66] with a bounding box of width 17.09 and height 40.21.
 At frame 488, person 41 is located at coordinates [775.59, 708.38] with a bounding box of width 18.79 and height 44.61.
 At frame 488, person 63 is located at coordinates [-37.76, 607.17] with a bounding box of width 86.18 and height 264.01.
 At frame 488, person 64 is located at coordinates [805.24, 709.10] with a bounding box of width 24.68 and height 55.23.
 At frame 488, person 66 is located at coordinates [190.97, 655.39] with a bounding box of width 29.39 and height 81.13.
 At frame 488, person 67 is located at coordinates [786.87, 707.00] with a bounding box of width 18.76 and height 49.61.
 At frame 488, person 68 is located at coordinates [783.21, 708.22] with a bounding box of width 19.84 and height 46.89.
 At frame 489, person 23 is located at coordinates [1654.89, 637.11] with a bounding box of width 231.19 and height 544.61.
 At frame 489, person 38 is located at coordinates [1433.41, 729.96] with a bounding box of width 144.25 and height 387.70.
 At frame 489, person 56 is located at coordinates [755.30, 705.65] with a bounding box of width 17.22 and height 40.65.
 At frame 489, person 41 is located at coordinates [771.41, 706.70] with a bounding box of width 18.38 and height 43.98.
 At frame 489, person 64 is located at coordinates [801.68, 706.17] with a bounding box of width 25.29 and height 56.40.
 At frame 489, person 66 is located at coordinates [187.83, 653.19] with a bounding box of width 26.25 and height 72.08.
 At frame 489, person 68 is located at coordinates [783.24, 706.58] with a bounding box of width 20.45 and height 48.39.
 At frame 490, person 23 is located at coordinates [1665.61, 596.85] with a bounding box of width 297.99 and height 702.00.
 At frame 490, person 38 is located at coordinates [1461.86, 725.15] with a bounding box of width 154.30 and height 402.20.
 At frame 490, person 56 is located at coordinates [754.01, 704.84] with a bounding box of width 17.25 and height 40.81.
 At frame 490, person 41 is located at coordinates [769.02, 705.82] with a bounding box of width 17.94 and height 43.14.
 At frame 490, person 64 is located at coordinates [799.18, 705.71] with a bounding box of width 24.98 and height 55.66.
